# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
artificial intelligence (ai),188732,3731481,16906,59864,6297,74566,5162,25937,454320,1076985,125834,1476019,70768,527555
cybersecurity,105669,2614717,9364,31427,3590,43387,2568,15333,392666,843241,71270,908677,53410,345453
incident response,86692,1639926,8809,30304,2705,29824,2731,12319,268408,558135,31495,532388,37605,211895
threat detection & response (tdr),89319,1575226,9292,31677,2710,29986,2911,12743,262352,535579,27159,505455,35301,209380
extended detection & response (xdr),69560,1573366,7237,25618,1830,22512,2431,9932,249522,556884,24901,500962,38713,202384
industry 4.0,46075,1478252,4681,15712,1762,16300,1320,6300,185923,498422,82632,515004,27404,168867
internet of things (iot),61423,1456048,5509,17860,2297,25791,1279,8687,142537,399782,80647,634280,24989,173813
Google,21021,1424911,2050,7322,986,7307,460,2896,132672,246601,26424,835127,9382,174705
threat intelligence,71410,1395874,6959,24409,2681,25427,1988,9946,226216,466970,31264,464201,30630,176593
vulnerability management,61516,1282167,6275,20848,2065,22018,1701,8609,213721,438337,25804,406748,27163,170394
executive summary,139876,1150177,12281,44493,4712,55041,3814,19535,121739,352921,46012,452913,23623,152969
data-driven,110257,1141106,10477,34272,3532,43560,3071,15345,147899,335963,29855,445919,22949,158521
virtual care,43326,1039578,4102,13024,909,17892,1289,6110,80027,193087,18957,605536,15106,126865
security operations (secops),45121,1033745,5026,16583,1372,14576,1378,6186,187831,365718,15877,310315,24102,129902
software development,52196,1017660,4637,16416,1839,20309,1298,7697,166428,308587,29309,373324,18126,121886
generative ai,123960,978372,11147,40678,4265,47163,3439,17268,123287,293879,26493,369069,19600,146044
employee retention,37274,975503,3451,13043,1040,13090,1393,5257,106150,330730,22271,363892,25740,126720
predictive maintenance,35966,958297,3219,10076,1339,15771,682,4879,91458,293853,73029,376524,16571,106862
phishing detection & response,47154,866610,4937,17120,1526,15678,1400,6493,139013,299353,17846,283374,19997,107027
digital transformation,94708,864690,8594,28590,3284,38686,2351,13203,111301,260538,29202,314953,16108,132588
affiliate & partner marketing,45181,817056,4155,15084,1302,17059,1197,6384,77896,276455,24344,311225,18806,108330
network security,63237,799550,6592,22475,2212,21319,1825,8814,127686,265223,17586,269640,17676,101739
financial planning & analysis (fp&a),41680,799492,3581,12070,1783,17075,1058,6113,91666,206779,29610,335474,14672,121291
ot/ics security,32292,768008,3011,11013,1385,11565,741,4577,109561,229270,23041,279753,13208,113175
zero trust,59318,765674,5883,19550,1974,21700,1653,8558,116725,259412,15366,253824,16419,103928
smart hospitals,10658,754800,777,1731,136,6202,235,1577,45975,126498,17808,469563,16839,78117
employee benefits,49701,717037,4375,14205,1209,21287,1454,7171,72625,219433,15742,302195,15842,91200
marketing trends,52926,715959,4794,18040,1678,19774,1369,7271,67147,219772,23810,291685,15106,98439
sales training,35344,694560,3719,10923,1077,14095,843,4687,87861,195323,25232,279815,13628,92701
endpoint detection & response (edr),62376,689391,6561,22662,1365,20393,2290,9105,114257,243584,9561,215230,16926,89833
decision-making,78920,680441,7453,24839,2810,30368,2154,11296,95054,217872,16683,246078,13345,91409
sales enablement,43519,670713,4488,13624,1375,17122,1072,5838,84242,187160,24694,266721,12826,95070
freelancer management,30876,670256,2845,10553,876,11128,1063,4411,74540,226082,15846,253360,16188,84240
enterprise resource planning (erp),86382,661523,8002,27456,3370,32912,2219,12423,83637,198706,34284,248294,11678,84924
sales compensation & incentives,29040,649628,3153,8876,881,11548,654,3928,83950,180367,27005,261781,11605,84920
security orchestration automation and response (soar),35208,636034,4052,13051,882,11132,1182,4909,119108,223633,8778,189627,14899,79989
Impact,18615,614940,133,311,22,14507,32,3610,9755,28004,960,469754,2728,103739
financial services,86173,610259,8340,29801,2988,30453,2591,12000,90708,207420,13429,205457,13498,79747
5g,51432,608876,4649,15110,2081,21338,1092,7162,64257,160791,37965,260529,11701,73633
CrowdStrike,60531,605602,6379,22331,1347,19407,2256,8811,98304,216988,8253,186884,15254,79919
answer engine optimization (aeo),27267,594322,2699,9699,870,9546,747,3706,61880,194963,19204,210300,15517,92458
agentic ai,91057,574917,7977,29745,3323,34915,2322,12775,62807,165692,21208,230954,10630,83626
smart factories,21683,572728,1935,6371,1177,8937,421,2842,54043,177719,50929,219292,9135,61610
aging in place tech,9344,564144,664,1524,112,5453,204,1387,30029,91348,14862,354968,12183,60754
customer experience,80679,563236,6346,23023,2241,35501,1901,11667,54327,156945,15094,252692,10076,74102
email security,47205,551765,4979,17301,1519,15512,1399,6495,92637,195972,9806,172308,12519,68523
risk management,68026,540647,6528,22267,2009,25649,1872,9701,88501,175355,10552,176832,11066,78341
machine learning (ml),69393,538143,6515,22068,2512,26493,1895,9910,65603,163213,25071,197394,10119,76743
ai agents,98394,533837,8962,29212,3516,40870,2292,13542,58453,140671,21754,227866,9536,75557
ai adoption,89279,530345,8116,28786,2745,34920,2296,12416,68624,154922,15435,210857,9829,70678
cybersecurity tools & software,48227,525697,4498,14976,1287,19057,1336,7073,83568,180373,9801,174201,11574,66180
digital twins,50094,500005,4676,15470,1965,19876,1211,6896,54973,148174,33554,192277,9990,61037
Darktrace,34437,499147,3877,12837,896,10915,1138,4774,90979,174136,7185,150338,11260,65249
workflow automation,54673,491660,4994,19240,1860,19375,1472,7732,82482,163867,10147,157265,10560,67339
search engine optimization (seo),49027,490275,4644,17500,1559,17376,1344,6604,52795,148832,16600,191834,12063,68151
penetration testing,58819,481870,5854,21057,1638,19579,2008,8683,64535,165151,10074,159928,13296,68886
Zscaler,41523,469945,4457,15352,1205,13603,1268,5638,74458,158329,7920,159521,10245,59472
Jabra,13322,465134,212,771,20,9756,59,2504,12498,37644,848,354499,2617,57028
data analytics,53877,463421,4955,17241,1791,20368,1675,7847,52496,148867,19262,171587,11088,60121
ai-powered automation,69469,456848,5764,22620,2516,26461,1897,10211,58782,135014,14980,174606,8707,64759
"development, security & operations (devsecops)",27515,456028,2626,9417,580,10102,823,3967,69179,165540,7001,144194,10270,59844
security orchestration,31980,448786,3630,11900,747,10175,1095,4433,84316,159131,6459,132721,10536,55623
influencer marketing,50317,444140,4631,17022,1470,18770,1338,7086,41384,146614,11706,173494,10351,60591
employee screening,31430,443886,2813,10745,868,11370,1071,4563,48112,149416,10292,168072,10632,57362
endpoint security,66810,442299,6810,24524,1716,21772,2364,9624,65780,154619,6357,144716,11337,59490
payment processing,64715,441792,5731,20532,2330,24886,1906,9330,48815,139676,13550,171092,9714,58945
zero trust network access (ztna),34984,441416,3444,12728,1415,11568,1062,4767,62033,146667,16559,149651,9236,57270
threat hunting,41814,437766,4559,15570,1269,13447,1283,5686,81791,151098,7559,131062,9592,56664
anomaly detection,67308,437239,6513,22410,2676,24585,1724,9400,67548,139896,16017,150572,8007,55199
post-quantum cryptography,25315,433033,2736,9674,656,7937,847,3465,75594,159878,7206,126115,10578,53662
threat landscape,51705,429521,5183,17740,1749,18400,1457,7176,67794,140085,10566,145365,8631,57080
data security,66529,428975,5950,20941,2171,25783,1776,9908,55938,134371,10615,160289,8718,59044
marketing automation,70533,421747,6624,24633,2140,25330,2043,9763,44904,142546,11785,154583,9287,58642
predictive analytics,78029,421597,7427,25577,2663,28863,2395,11104,57065,138878,13441,146618,9307,56288
employee engagement,46995,419382,3771,13686,1141,19977,1462,6958,43658,135973,9159,155000,10128,65464
devops,41284,418189,4387,14633,1126,14089,1257,5792,72103,144964,6498,131415,8653,54556
employee wellness,28122,413967,2695,8894,669,10979,778,4107,44163,131669,7960,157778,8424,63973
ai in sales,33318,412294,3613,10205,1022,13260,759,4459,53493,118493,15971,161523,7237,55577
talent management,46654,406236,4254,15150,1271,17696,1544,6739,44853,131133,9114,155580,10202,55354
b2b sales,47151,404783,4743,14553,1466,18794,1163,6432,52391,107303,15306,166063,7347,56373
talent acquisition,35015,404414,3337,11296,996,13171,1203,5012,44481,125080,9872,154250,10404,60327
sales demos,34196,402442,3447,10721,1026,13498,882,4622,48756,115946,14979,164936,7695,50130
breach & attack simulation (bas),38787,395093,3983,14274,623,12409,1531,5967,52691,141518,3676,126809,11615,58784
endpoint detection,38788,394849,3983,14276,623,12408,1531,5967,52657,141456,3677,126702,11607,58750
performance management,64086,392928,6338,19182,2195,26101,1460,8810,47205,111309,13103,157091,7599,56621
data centers,53452,391135,4705,16884,1747,20956,1259,7901,47880,115180,9270,156520,7469,54816
Palo Alto Networks,58971,390700,6083,21475,1447,19114,2205,8647,58039,137885,9555,120810,10236,54175
industrial internet of things (iiot),23997,382137,2147,7022,1220,9958,456,3194,36122,117266,34532,146383,6313,41521
content marketing,43157,380643,4089,15455,1340,15291,1174,5808,41527,112685,14548,149050,8907,53926
supply chain management (scm),56127,370292,4656,16095,2341,24128,1141,7766,34004,104374,22378,147967,6128,55441
access controls,55863,369307,5832,19992,1927,18692,1614,7806,59661,123663,7941,121144,7585,49313
automation,74711,367258,7022,22627,2762,29621,1852,10827,42895,104344,14542,148327,6619,50531
data protection,43390,365791,4433,16292,1377,13987,1280,6021,57542,132462,8281,109637,8413,49456
ServiceNow,34309,365531,3851,12681,819,11047,1142,4769,65205,126226,5031,114635,8218,46216
customer experience (cx),39482,365113,3678,14496,1176,13620,1145,5367,35779,126988,11400,135842,8693,46411
ai in marketing,38873,363513,3642,14247,1135,13434,1108,5307,35436,125441,11243,136306,8578,46509
data quality,78459,362080,7017,25089,2562,30717,2068,11006,38359,99012,12388,156133,7077,49111
sales performance management,29690,353003,3295,8940,979,11874,625,3977,45122,99427,14910,137134,6140,50270
soar,34375,352277,3937,12741,851,10901,1160,4785,65478,124719,5125,104676,8275,44004
ap automation,48210,351510,4531,14730,1865,18796,1297,6991,46190,103053,12958,131615,6712,50982
security incident response,33967,348420,3843,12644,819,10801,1140,4720,65007,123982,5031,102831,8187,43382
web traffic,33072,347186,3250,12481,1114,10401,1079,4747,64666,117027,7322,108793,6914,42464
operational efficiency,54945,347071,5446,18608,1913,19592,1605,7781,49803,117422,8391,120015,6978,44462
cybersecurity awareness & training,48110,346081,5004,17539,1667,15871,1397,6632,58404,115244,7563,114497,7537,42836
employee experience,43662,346066,4111,15013,1436,15541,1535,6026,37678,114797,8390,128469,8891,47841
invoice processing,67306,344163,6162,21572,2328,25462,2066,9716,45694,107919,10171,126866,7290,46223
managed services,56537,340602,5858,19892,1701,19761,1712,7613,50036,117108,7696,113627,7124,45011
