company,source_type,notes
Accela,case_study,
Accenture,featured_customers,
Achievers,vanguard_award,
Actian,customer_blog,
Adobe,featured_customers,
ADP,press_release_q3_2023,
Alation,smart_awards,
AMD,customer_blog,
Apigee,featured_customers,
Appcast,press_release_2023,
Aptitude,press_release_q3_2023,
ArcSight,testimonial,
Atmel,case_study,
Autodesk,case_study,
Avalara,press_release,
AVEVA,smart_awards,
Avenga,press_release_2024,
Baker Tilly,case_study,
Blue Coat,testimonial,
BNY Mellon,press_release_2023,
Box,case_study,
Breakout,case_study,
BrightEdge,press_release,
Brightcove,case_study,
Broadcom,customer_blog,
Broadridge,case_study,
Brocade,case_study,
Caregility,case_study,
Cart.com,press_release,
Case IQ,case_study,
CBIZ,customer_blog,
CEB,case_study,
Chevron,press_release,
CipherHealth,case_study,
CloudBlue,case_study,
Coalfire,case_study,
Computer Generated Solutions,press_release_q3_2023,
Confluent,press_release,
Coupa,case_study,
Coursedog,smart_awards,
Cox Automotive,press_release_q3_2023,
CrownPeak Technology,press_release,
CSC,testimonial,
CyberArk,case_study,
Deep Instinct,case_study,
Dell,case_study,
Denodo Technologies,case_study,
DexCare,press_release_2024,
Dialpad,case_study,
Diebold Nixdorf,case_study,
DISCO,vanguard_award,
DocuSign,case_study,
Ekahau Connects,case_study,
Equilar,case_study,
Ernst & Young,press_release,
ExactTarget,press_release,
Fivetran,case_study,
Folloze,case_study,
FORM,press_release_2024,
GE,featured_customers,
GoCardless,vanguard_award,
GoPro,press_release,
Guidewire Software,customer_blog,
Hexagon,case_study,
HGS Healthcare,case_study,
HP,smart_awards,
HubSpot,press_release,
IBM,case_study,
iCIMS,press_release,
Igloo,press_release_2024,
Ignitium,case_study,
Informatica,case_study,
Ingram Micro,case_study,
Insight Enterprises,press_release_2024,
Intacct,press_release,
Intelex,customer_blog,
Iron Mountain,case_study,
JLL,case_study,
Kabam,press_release,
Kraton,press_release_2023,
KPMG,smart_awards,
Lacework,case_study,
Larsen Toubro Infotech,smart_awards,
League,case_study,
LightEdge Solutions,press_release_q1_2023,
Limelight Networks,testimonial,
Magento,press_release,
MarketSource,press_release_q3_2023,
Matillion,smart_awards,
McKinsey & Company,press_release,
Medallia,press_release,
MetricStream,press_release,
Modern Health,vanguard_award,
MoEngage,smart_awards,
Molex,case_study,
Moss Adams,case_study,
Motorola,testimonial,
Navisite,case_study,
NComputing,press_release,
NetApp,featured_customers,
Netbase Solutions,press_release,
NTT Data,customer_blog,
OneLogin,case_study,
Optymyze,case_study,
Oracle,press_release,
OutSystems,case_study,
PageUp,case_study,
Palo Alto Networks,case_study,
Panasonic,case_study,
PlainID,press_release_q1_2023,
Procore,case_study,
Progress Software,case_study,
Quest Diagnostics,press_release_2023,
Randstad,case_study,
Renesas Electronics,case_study,
Roblox,press_release,
Sagility,case_study,
Salesforce,featured_customers,
SAP,case_study,
SAP Ariba,case_study,
SAP Concur,case_study,
Securian Financial,press_release_q3_2023,
SEI,case_study,
ServiceMax,featured_customers,
ServiceNow,featured_customers,
SilkRoad Technology,case_study,
Siteimprove,case_study,
SmartRecruiters,case_study,
SmashFly Technologies,case_study,
Sprout Social,press_release_2023,
Stanley Black & Decker,vanguard_award,
StrongView,case_study,
Surescripts,case_study,
Symantec,press_release,
Symphony Talent,case_study,
Syneos Health,case_study,
T-Mobile,press_release_2023,
Tenable,case_study,
Thales,case_study,
Thermo Fisher Scientific,case_study,
Thoughtworks,case_study,
TransUnion,customer_blog,
TreviPay,case_study,
Tricentis,smart_awards,
Unanet,case_study,
Unisys,press_release_q1_2023,
UScellular,press_release_2024,
Vaimo,press_release_q1_2023,
Varicent,press_release,
VersionOne,case_study,
Visa,customer_blog,
Visier,case_study,
VSP Vision Care,press_release_q3_2023,
WIKA Mobile Control,case_study,
Wipfli,smart_awards,
Wipro,press_release,
Workday,case_study,
WorkForce Software,case_study,
Wunderman,case_study,
Xactly,press_release,
Xignite,press_release,
Zoom,case_study,
Zuora,case_study,
